凌寒	Ling Han
神兽	Divine Beast
北分院	Northern Institution
师妹	Junior Sister
积分	academic credits
三火引	Three Fire Guide
丹劫	pill tribulation
炽燃水晶	Stored Light Crystal
舍不了孩子套不了狼	you have to lose some to gain some
古灵玉	Gu Lingyu
十万	hundred thousand
百万	million
丹分院	Alchemy Institution
天翼神剑	Heavenly Winged Divine Sword
执法长老	Law Enforcement Elder
和林药铺	United Forests Pharmacy
罗觊风	Luo Kaifeng
魏千树	Wei Qianshu
执法会	Law Enforcement Committee
罗洪道	Luo Hongdao
罗凯风	Luo Kaifeng
国库	National Treasury
血泣石	Bloodtear Stone
左相	Left Minister
神果	Divine Fruit
左萧	Zuo Xiao
王宛	Wang Wan
张青	Zhang Qing
战帖	battle notice
七杀镇魂术	Seven Kill Subduing Soul Technique
千锋山	Thousand Spear Mountain
叶承运	Ye Chengyun
莫俊人	Mo Junren
帝江	Imperial River
琉焰青纹虎	Precious Flame Blue-Patterned Tiger
冰原虎	Ice Genesis Tiger
武道精魄	Soul Essence of Martial Arts
宫主	Imperial Empress
天圣宫	Heavenly Saint Palace
暗夜堂	Dark Night Hall
水子歌	Shui Zige
蒙毅	Meng Yi
铜牌	copper-plated
胡菲芸	Hu Feiyun
黑焰国	Black Flame Nation
东分院	Eastern Institution
九郡王	Ninth King
杨梓	Yang Ci
西分院	Western Institution
吞天功	Heaven Swallowing Technique
刘恒	Liu Heng
白元思	Bai Yuansi
天海秘境	Heavenly Sea Mystery Realm
山河石	Mountain River Stone
重元石	Heavy Origin Stone
火焰石	Flame Stone
皇家练武场	Imperial Training Fiel
孔雀明王	Peacock Flame King
大龟王	Big Turtle King
玄武	Black Tortoise
月蓉儿	Yue Rong'er
钟海	Zhong Hai
孔雀百翎	Peacock's Numerous Plumes
破灭乾坤	Shatters the Cosmos
怒海拳	Furious Sea of Fists
神之领域	God's Territory
宫女	palace maid
空舰	warship
丁立安	Ding Li'an
小极位	low extreme
中极位	medium extreme
大极位	high extreme
玉阳丹	Jade Sun Pill
唐风	Tang Feng
仙金	Divine Metal
神铁	Godly metal
银角狂犀	Silver Horned Mad Rhinoceros
妖兽	Demonic Beast
赤湖	Crimson Lake
精神秘术	spiritual secret technique
飞行神器	Flight God Tool
空间神器	Spatial God Tool
精华	essence
抽取	extract
炼化	refined
武者	cultivator
至宝	precious treasures
甚至	in fact
大大咧咧	boldly
大大咧咧	casually
鲁莽	reckless
鲁莽	rash
体魄	physique
神火	divine flame
丹田	Dantian
中期	middle stage
力不从心	strained
无奈	reluctant
无奈	exasperation
无奈	helpless
无奈	begrudging
运转	channel
运转	practice
宙天国	Eternity Sky Majestic Empire
巅峰	peak
三星天才	three-star genius
超重力	extreme weight
游浩	You Hao
秘术	secret technique
老怪物	old monsters
少主	Young Master
后期	late stage
呸	ptui
不自量力	biting off more than you can chew
第	Chapter
大人物	powerful figure
大人物	mighty figure
妖孽	freakish
小子	brat
小友	young friend
武道界	martial arts world
喷了出来	splutter
小小境界	sub-minor level
少爷	Young Master
领悟	comprehension
领悟	enlightenment
小境界	minor tier
小境界	minor level
纹路	veined pattern
神纹	divine pattern
乾坤大挪移	Great Shift of Yin and Yang
玄元三式	Three Styles of Black Origin
天剑宫	Heaven's Sword Palace
一星天才	one-star genius
前期	early stage
巅峰	peak stage	when talking about ranks/tiers
巅峰	pinnacle
五星天才	five-star genius
四星天才	four-star genius
力量	power
实力	strength
实力	abilities
施浩	Shi Hao
化天碗	Heaven Transformation Bowl
不由	involuntarily
不由	couldn't help but
品阶	grade
小世界	small world
施展	cast
秘法	secret technique
武技	martial arts techniques
神境	Immortal level
终极一箭	Ultimate Arrow
识海	mind
右相	Right Minister
七大将	the Seven Generals
灵液	spiritual liquid
听芹	Ting Qin
韵容	Yun Rong
恶兽	evil beast
九王	Ninth King
神魂	divine sense
超级强者	super elite
神躯	Godly physique
战意	fighting spirit
底牌	trump card
狼妖	Demon Wolf
奥义	profound meaning
生命力	vitality
神箭	Godly Arrow
精神冲击	spiritual attack
气势	aura
杀意	killing intent
丹药	alchemical pill
功法	cultivation technique
神级	Immortal level
半人	Half Human
强者	elite
大能	great elite
叶文山	Ye Wenshan
汤华	Tang Hua
破虚部	Shattering Void Tier Division
小极部	Low Extreme Division
手下	subordinate
范勇	Fan Yong
火焰窟	Flame Cave
李思蝉	Li Sichan
刘雨桐	Liu Yutong
师兄	Senior Brother
师姐	Senior Sister
师弟	Junior Brother
初期	early stage
神骨	Godly bones
二星天才	two-star genius
终级一箭	Ultimate Arrow
家族	clan
呸	pei
徐然	Xu Ran
重力	gravity
超级天才	super genius
独眼魔猿	Single Eye Demonic Ape
熔岩兽	Lava Beast
兽王	Beast King
赤罗锁地网	Crimson Ground Locking Net
罗家	Luo Clan
特殊属性	special attribute
罗浩民	Luo Haomin
罗剑	Luo Jian
越级战斗能力	tier surpassing battle prowess
重力神纹	divine patterns of gravity
玄妙三千	Mysterious Three Thousand
规则	Regulations
身法	movement technique
大圆满	consummate level
空间灵器	Spatial Spirit Tool
真一魔主	Demon Master Zhen Yi
冥界	Netherworld
魔主	Demon Master
体术	Body Art
岩兽王	Lava Beast King
风车山	Windmill Mountain
大将军	Great General
安兰王	King An Lan
戚峰	Qi Feng
七星诀	Seven Star Secrets
沙景	Sha Jing
赵剑白	Zhao Jianbai
北漠赤阳功	Northern Desert Crimson Sun Technique
意境	Intent Realm
天地大道	Dao of Heaven and Earth
毕竟	after all
宝瓶	treasure bottle
宝镜	treasure mirror
武道意志	martial intent
加成	boost
绝地棍法	Supreme Staff Technique
六合八荒功	Universal Eight Desolation Technique
徐老头	Old Man Xu
太一玉髓心	Highest Jade Essence Heart
武官	military officer
玄雷地诃诀	Black Thunder Ground River Secrets
战佛	War Buddha
精血	blood essence
破月诀	Moon Shattering Secrets
罗青	Luo Qing
铁血场	Iron Blood Stadium
万法归一	10,000 Techniques Return to One
日月境	Sun Moon Tier
鲲鹏宫	Roc Palace
破虚二十星	20 Stars of the Shattering Void Tier
九死转生神丹	Nine Deaths Reincarnation Divine Pill
柳莹	Liu Ying
沙原	Sha Yuan
死卫	death guard
四豹	Four Panthers
柳蕙兰	Liu Huilan
荆无血	Jing Wuxue
上官元基	Shangguan Yuanji
赵大将军	Great General Zhao
白云星铁	White Cloud Star Metal
云凤真血	Cloud Phoenix True Blood
上古神兽	Ancient Divine Beast
真凤	True Phoenix
血脉	bloodline
嚣张	arrogant
挑衅	provoke
哼	humph
神光	divine light
古迹	ancient site
火焰神纹	divine patterns of flame
天份	talent
秒杀	insta-kill
小心眼	petty
生死战	mortal duel
心境	mental state
高手	elite
天地	heaven and earth
一柱香	thirty minutes
四小姐	Fourth Young Miss
传承	inheritance
杀气	killing intent
大白猫	big white cat
付院长	Head Fu
兽宠	beast pet
丹院	Alchemy Institution
抽魂	pluck one's soul
分院长	Head of Institution
尤物	seductive beauty
腐水三千	Corrosive Water Three Thousand
残金战佛拳	Residual Gold War Buddha Fist
神链	divine chains
绝学	ultimate technique
天赋	natural talent
神灵	Immortal
轮回茶	Reincarnation Tea
女皇	empress
七品武将	seventh-rank military officer
真元石卡	True Origin Stone Card
帝国	Majestic Empire
啧	tsk
海贼	pirates
矜持	reservedness
势力	force
仇恨光环	halo of trouble
穿云梭	Cloud Piercing Shuttle
王者	king tier
圣意	imperial decree
轮回树	Reincarnation Tree
傲娇	tsundere
丹道帝王	Alchemy Emperor
黑五帮	Black Five Gang
大乘帮	Great Chariot Gang
丹方	pill recipe
修炼	cultivate
霸斧码头	Tyrant Axe Harbour
杨通天	Yang Tongtian
姜吉	Jiang Ji
卢奇伟	Hu Qiwei
赵家	Zhao Clan
招揽	recruit
神丹	Divine Pill
玉符	jade seal
仙域	Celestial Realm
仙王	Celestial King
斩尘境	Severing Mundane Tier
星辰海	Star Sea
傀儡	puppet
轩辕紫光	Xuanyuan Zi Guang
恒天大陆	Lower Realm
姜安云	Jiang Anyun
少帮主	Young Gang Leader
妖	bewitching
杨家	Yang Clan
客栈	inn
杨铁成	Yang Tiecheng
气天丹	Heavenly Qi Pill
天玑丹	Heavenly Pearl Pill
黑迷雾	Black Fog
药材	medicinal ingredients
灵药	Spiritual Herb
炉	cauldron
罗玉	Luo Yu
罗悟	Luo Wu
罗森云	Luo Senyun
极境	pinnacle level
麻衣	coarse clothes
沙家	Sha Clan
金致辉	Jin Zhihui
周高阳	Zhou Gaoyang
伏天	Fu Tian
殷元香	Yin Yuanxiang
杨兄	Brother Yang
丹道	alchemy
几万	tens of thousands
丈	three meters
铁青	livid
分魂	Dividing Soul Tier
仙府	Immortal Palace Tier
升源	Ascending Origin Tier
仙王	Celestial King Tier
五分魂	Dividing Five Souls
六分魂	Dividing Six Souls
七分魂	Dividing Seven Souls
九分魂	Dividing Nine Souls
八分魂	Dividing Eight Souls
小成	Small Accomplishment	for Ascending Origin Tier
大成	Great Accomplishment	for Ascending Origin Tier
九重	Nine Heavens	for Celestial King Tier
天尊	Heavenly Venerable Tier
生命指数	Vitality Index
纪元	epoch
十二万亿	12 trillion
元年	era
万影化身诀	Many Shadows Embodiment Technique
魔爆蛇	Demonic Snake
魔爆蛇王	Demonic Snake King
秘	Small Realm	when referring to Immortal Palace Tier
异域	Foreign Realm
叶	Leaf	Minor levels for tiers in Foreign Realm
蛇王	Demonic Snake King
妖蛇	Demonic Snakes
秘宝	rare treasure
铸剑山庄	Swordforge Manor
地心岛	Earth's Core Island
傀儡师	puppeteer
董玉龙	Tong Yulong
郭修文	Guo Xiuwen
崔德	Cui De
步正云	Bu Zhengyun
阵法师	Formation Master
占卜师	diviner
星象师	astrologer
地心洞	Earth's Core Cave
宁泰	Ning Tai
杨大人	Captain Yang	for sailor at Star Sea
神魂	spirit
乱星	Luan Xing
乱星女皇	Empress Luan Xing
裴济	Pei Ji
神雾	Divine Mist
傀儡虎	puppet tiger
丹师	alchemist
经脉	meridian
魔气	Demonic Qi
徒弟	disciple
圣	Saint	when referring to cultivators at the Genesis Tier
小帝	Little Asura	When referring to Asura Demon Emperor. (i think calling him Little Emperor sounds weird)
准	pseudo	when talking about cultivation levels
后阳	Hou Yang
居乐云	Ju Yueyun
散修	lone cultivator
灰云章	Grey Cloud Octopus
鬼面蟹	Demon Faced Crab
黑甲虾	Black Armoured Prawn
大乌龟	Giant Turtle
海马	Seahorse
体力	stamina
意志	willpower
遗迹	historical site
太初石	Absolute Beginning Stone
星辰	heavenly body	i.e. star
洞府	abode
金纹鲨	Golden-patterned Shark
魔力	Demonic Power
魔力源泉	Demonic Power Source
神药	Godly medicine
四字剑诀	Four Form Sword Technique
宗师	grandmaster
快字诀	Fast Technique
慢字诀	Slow Technique
乱字诀	Chaotic Technique
平字诀	Calm Technique
无敌剑圣	Invincible Sword Saint
秘力	mystical power
西城	Xi Cheng
杨轩	Yang Xuan
红颜	lover
杨珞丹	Yang Luodan
碧霄丹	Jade Heaven Pill
寿元	lifespan
碧霄丹	Jade Heaven Pill
身份令牌	identity token
大境界	major tier
吴兹仁	Wu Ziren
太玄青冥丹	Mysterious Azure Pill
鸠吾戚	Jiu Wuqi
水家	Shui Clan
福	curtsy
赵世子	Heir Zhao
伦哥	Brother Zhao	(i think Brother Lun is unclear, and i couldnt be bothered footnoting)
武道界	cultivation world
两界战场	Two Realm Battlefield
安老	Elder An
严小萱	Yan Xiaoxuan
中极部	Medium Extreme Division
金狮国	Golden Lion Nation
东雨国	Eastern Rain Nation
官爵	official rank
药铺	pharmacy
副院长	Deputy Head
四大分院	four major institutions
至强者	supreme elite
学院军	academy troops
柳青	Liu Qing
森然	baleful
森然	wicked
森然	sinister
煞人	Fiend
